en_query,cs_query
Add a new weekly reminder for Sunday Brunch at 9 : 30 am,9 : 30 am ko Sunday Brunch ke liye ek naya weekly reminder add karen
message danny and see if he wants to go to comic con,danny ko message karo aur dekho ke he wants to go to comic con
set alarm for 2 hours,do ghante ke liye alarm set kardo
kill the reminder for baking a cake for neil,neil ke liye cake bake karne ke reminder ko mita den
retrieve my chat requests please,Please mere chat requests ko retrieve kare
"If I leave here by 9 pm , will I get to Taipei by 11 pm ?",agar mai raat 9 baje tak idhar se nikal jau toh kya mai raat 11 baje tak Taipei pahunch jaunga ?
Things to do this weekend for free in Pensacola,Pensacola me is weekend ko free me karne ke liye cheeze
Is it going to be cold today,Kya aaj thand hone wali hai
Text Chris I ' m stuck in traffic,Chris ko text karo ki I ' m stuck in traffic
please set timer for 50 minutes,please 50 minutes ke liye timer ko set karen
delete 7 pm alarm,7 pm ke alarm ko delete karo
"Remove all chore reminders that are before 9 am . , please .",Please subah 9 baje se pehle ke sabhi chore reminders ko hataye
Temperature next week in San Francisco c,Agle hafte San Francisco me temperature c me
Cancel alarm for 6 : 10,6 : 10 ke liye alarm ko cancel karen
repeat the song Just the way you are,Just the way you are song ko dohrayen
How long will it take me to get there in heavy traffic,bhaari traffic me mujhe waha pahunchne me kitna samay lagega
Create a playlist of songs from the 90 ' s,90 ke songs ki ek playlist create karo
what ' s the weather in baltimore,baltimore me mausam kaisa hai
start playing Magic 93 Point 7,Magic 93 Point 7 bajaana shuru karo
Outlander schedule on Showtime,Showtime par Outlander schedule
how humid is today,aaj humid kitna hai
Create an alarm for 6 am and 5 pm every monday,har monday 6 am and 5 pm ke liye alarm create kare
play 80s only,sirf 80s bajaayen
"Pause this song , please .","please , is song ko rok den ."
Tell me about the weather tonight at 6 ?,Mujhe aaj raat 6 baje ke mausam ke baare me batao ?
Yesterday the weather man said that it might rain today . How is the weather today ?,kal weather man ne kaha tha ke aaj baarish hosakti hai . aaj weather kaisa hai ?
Schedule 15 minute timer at 1 : 45 pm,1 : 45 pm ko 15 minute ka timer schedule karen
what ' s the humidity,humidity kitni hai
set a reminder for 3 pm to watch the baseball game,baseball game dekhne ke liye 3 pm ka ek reminder set kare
play 80s music,80s ke music bajao
